"mutation1"	"mutation2"	"mutation3"	"mutation4"	"mutation5"	"mutation6"	"mutation7"	"mutation8"	"mutation9"	"mutation10"	"mutation11"	"mutation12"	"mutation13"	"mutation14"	"mutation15"	"mutation16"	"mutation17"	"mutation18"	"mutation19"	"mutation20"
"sample299"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample300"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample301"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample303"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample304"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample305"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample306"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample307"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample308"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample309"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample310"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample311"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample312"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample313"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample314"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample315"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample316"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample317"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample318"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample319"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample320"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample321"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample322"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample323"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample325"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample326"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample327"	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"sample328"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample329"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample330"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample331"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample332"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample333"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample334"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample335"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample336"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample337"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"sample338"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample339"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample340"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample341"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample342"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample343"	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
"sample344"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample345"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample346"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample347"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample348"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample349"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample350"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"sample351"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample352"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample353"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample354"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample355"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample356"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample357"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample358"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample360"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample361"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample362"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample363"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample364"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample365"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample366"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
"sample367"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample368"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample369"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample370"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample371"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample372"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample373"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample374"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample375"	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample376"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample377"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample378"	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0
"sample379"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample380"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample381"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample382"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample383"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample384"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample385"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample386"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample387"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample388"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample389"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample390"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample391"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample392"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"sample393"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample394"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample395"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"sample396"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample397"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample398"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample399"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample400"	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
